Y	X1	X2
-7848080	-2794992	-5053088
-8931518	-3517221	-5414297
-13692887	-6777153	-6915734
-8684515	-3447934	-5236581
-9184896	-6322284	-2862612
-6666919	-2703454	-3963465
-4696339	-3911104	-785235
-16037936	-7730983	-8306953
-6201655	-2722409	-3479246
-14089983	-9605720	-4484263
-1447913	-809780	-638133
-7276520	-4330296	-2946224
-17181471	-8877354	-8304117
-13116645	-9895564	-3221081
-19432121	-9811282	-9620839
-11573776	-7781917	-3791859
-11795899	-4079088	-7716811
-8859359	-1327336	-7532023
-15616880	-5807610	-9809270
-7800843	-1732612	-6068231
-9054005	-5895089	-3158916
-13032989	-6082341	-6950648
-10023647	-8207027	-1816620
-11572918	-6797213	-4775705
-7809145	-6316758	-1492387
-5466342	-4456744	-1009598
-7996200	-6479182	-1517018
-4411079	-4286703	-124376
-3608172	-1083459	-2524713
-12445623	-3685390	-8760233
-10197315	-5076281	-5121034
-11827067	-4969494	-6857573
-11351981	-2066604	-9285377
-12654780	-5913427	-6741353
-6669739	-3396817	-3272922
-18167181	-8340396	-9826785
-3659410	-3490119	-169291
-14920322	-5782592	-9137730
-11924458	-4227871	-7696587
-11725143	-2870446	-8854697
-14380662	-8627372	-5753290
-10218905	-6633303	-3585602
-12431024	-8435273	-3995751
-17617134	-8198175	-9418959
-10766714	-4343189	-6423525
-3799775	-628426	-3171349
-1877109	-383080	-1494029
-8286253	-6553996	-1732257
-13734565	-6950992	-6783573
-13700952	-6986382	-6714570
-5929954	-2575178	-3354776
-6781392	-5344116	-1437276
-12645722	-3127850	-9517872
-17385078	-8479073	-8906005
-8853462	-2437242	-6416220
-13344984	-5354319	-7990665
-10474855	-4719015	-5755840
-10676134	-1114007	-9562127
-14003085	-7169007	-6834078
-14932918	-5567882	-9365036
-11051114	-4721036	-6330078
-9971232	-6833606	-3137626
-4379109	-3008378	-1370731
-9485885	-9194231	-291654
-3964376	-1713053	-2251323
-12464506	-9860804	-2603702
-10226606	-1384469	-8842137
-12900871	-3617125	-9283746
-13677152	-7025263	-6651889
-6724249	-5147220	-1577029
-14160072	-4731255	-9428817
-7351255	-859813	-6491442
-11799032	-2324532	-9474500
-17216214	-8227450	-8988764
-5611963	-361	-5611602
-13920325	-5798597	-8121728
-5756224	-1691134	-4065090
-11595294	-4494488	-7100806
-15365601	-9790808	-5574793
-11944814	-2966040	-8978774
-11225418	-9971950	-1253468
-2634636	-1758869	-875767
-13772113	-9311327	-4460786
-8833602	-3933932	-4899670
-6847452	-4882034	-1965418
-9828070	-1963949	-7864121
-14059449	-7701416	-6358033
